city,season,min_temperature,max_temperature
Beijing,autumn,6.074719958581504,26.04249109292359
Beijing,spring,3.1680960911982474,22.662996649007273
Beijing,summer,17.505121936301652,36.991397638073366
Beijing,winter,-12.176639353525927,8.053120594063683
Berlin,autumn,1.0761136887059823,21.304992724718034
Berlin,spring,0.47111588558245643,20.3344064358087
Berlin,summer,10.256252475547788,29.710282781672746
Berlin,winter,-9.601367164537104,10.190229819958963
Cairo,autumn,15.525828868409949,34.7350318570509
Cairo,spring,14.730823707343385,35.42321046743102
Cairo,summer,25.077434425003197,44.949506952708525
Cairo,winter,4.653538127026357,24.895908392655386
Dubai,autumn,19.66533177007424,39.899691242709835
Dubai,spring,19.941212245168238,40.440483055708306
Dubai,summer,29.496758693402647,49.95150274504997
Dubai,winter,10.33950589251277,29.426848323599977
London,autumn,1.8602043631330254,22.01201799766508
London,spring,0.43312078964437895,21.228389286757206
London,summer,7.861584332166972,27.831799042906034
London,winter,-4.9680272222814645,15.45567183609566
Los Angeles,autumn,10.353606130178955,29.682159614376474
Los Angeles,spring,8.028505581003015,27.997917017267334
Los Angeles,summer,14.883036363151781,34.99651060984499
Los Angeles,winter,4.7639818246509815,25.355683078253982
Mexico City,autumn,5.041735310901743,24.97976153546805
Mexico City,spring,8.061635457962804,27.476133991707645
Mexico City,summer,9.667177936403432,30.157607228953204
Mexico City,winter,1.9510732686999237,21.730198782342995
Moscow,autumn,-1.633172344375037,18.05332828279217
Moscow,spring,-4.860147980790673,14.851809780174444
Moscow,summer,8.137354204195091,28.22766917080913
Moscow,winter,-20.310100845511975,0.017938425954202586
Mumbai,autumn,19.958594682437223,40.1338741503184
Mumbai,spring,20.45175268909216,40.532946137955264
Mumbai,summer,24.44728482057814,44.87921738931349
Mumbai,winter,15.577332093718619,35.18904849745616
New York,autumn,4.667618609780561,25.424383405450644
New York,spring,-0.22466253645712797,19.881749637532902
New York,summer,14.554544917911999,35.408730303234165
New York,winter,-9.81866954627368,10.201716837922442
Paris,autumn,3.0300061513027465,23.142771149860426
Paris,spring,2.1628459955132513,22.019643135741916
Paris,summer,10.105821905422319,29.912767869544922
Paris,winter,-5.859044445143619,13.607105232991577
Rio de Janeiro,autumn,15.38282118042885,34.576486159734685
Rio de Janeiro,spring,15.227059837543568,34.706540815830635
Rio de Janeiro,summer,19.795049854166834,40.19292549031502
Rio de Janeiro,winter,10.026038303695545,30.312722434465982
Singapore,autumn,17.0256388452671,36.81975378901578
Singapore,spring,18.328447059123956,38.14976157948918
Singapore,summer,17.61837007394496,38.040295902719976
Singapore,winter,17.15141960695419,36.997502157347185
Sydney,autumn,9.957528727735022,30.31923692126869
Sydney,spring,7.831372127523043,28.65359008326156
Sydney,summer,15.20097388524217,34.67615420546676
Sydney,winter,2.0850856410658807,21.99494911512793
Tokyo,autumn,8.002448760102984,28.214671756754505
Tokyo,spring,4.83724061399133,25.469806047423415
Tokyo,summer,16.306746625062537,36.815140161479356
Tokyo,winter,-4.323282101036872,15.761252628825366
