city,timestamp,temperature,season
New York,2010-01-01,3.475741165224706,winter
New York,2010-01-02,-8.689276405531974,winter
New York,2010-01-03,2.2597208989648534,winter
New York,2010-01-04,7.32672903211051,winter
New York,2010-01-05,-2.462916283688959,winter
New York,2010-01-06,-4.325593595022022,winter
New York,2010-01-07,1.257233920553744,winter
New York,2010-01-08,1.270940406891227,winter
New York,2010-01-09,2.4157750126613395,winter
New York,2010-01-10,0.35082356564169687,winter
New York,2010-01-11,-2.4912845058805058,winter
New York,2010-01-12,0.9798744577955149,winter
New York,2010-01-13,6.457378748094829,winter
New York,2010-01-14,-10.217640559169412,winter
New York,2010-01-15,3.9760965619386592,winter
New York,2010-01-16,5.594329762043136,winter
New York,2010-01-17,4.287486252438693,winter
New York,2010-01-18,4.76818055052904,winter
New York,2010-01-19,3.6439043662859905,winter
New York,2010-01-20,-1.6453575629132122,winter
New York,2010-01-21,1.7785901118552023,winter
New York,2010-01-22,-3.358596069939513,winter
New York,2010-01-23,1.0000790388510015,winter
New York,2010-01-24,1.4200081006070608,winter
New York,2010-01-25,-3.1881709033922117,winter
New York,2010-01-26,8.056274349345195,winter
New York,2010-01-27,8.17496577425175,winter
New York,2010-01-28,4.170740793557707,winter
New York,2010-01-29,4.321242384017909,winter
New York,2010-01-30,-1.390389870724069,winter
New York,2010-01-31,-4.92616918524328,winter
New York,2010-02-01,10.744226265977787,winter
New York,2010-02-02,4.22089147017869,winter
New York,2010-02-03,1.1536446033959582,winter
New York,2010-02-04,0.83678202278339,winter
New York,2010-02-05,-6.080848266503498,winter
New York,2010-02-06,-0.5888899576284965,winter
New York,2010-02-07,8.96132615006904,winter
New York,2010-02-08,12.524913139555965,winter
New York,2010-02-09,-3.1782699173738345,winter
New York,2010-02-10,0.8144111840788086,winter
New York,2010-02-11,-1.920934258083595,winter
New York,2010-02-12,0.33121087828823725,winter
New York,2010-02-13,-3.4826346303198057,winter
New York,2010-02-14,5.809873776599223,winter
New York,2010-02-15,-2.268419393469705,winter
New York,2010-02-16,4.3734839673382355,winter
